Complaints,Urgency
My mobile hotspot has a better connection than my home WiFi.,Medium
My shoe rack wobbles whenever I place shoes on it.,Medium
The armrests on my chair feel loose.,Medium
The back of my couch is sinking inwards.,Medium
My nightstand drawer gets stuck halfway.,Medium
The screws on my desk chair are coming loose.,Medium
The welding on my metal door is slightly cracked.,High
The metal rod in my fence is bent and sticking out.,Medium
My window security bars are rusting at the edges.,Medium
The gate latch is stiff and hard to lock.,Medium
The stair railing makes a creaking sound when used.,Medium
Water is gushing from a burst pipe under my sink.,High
"My toilet is overflowing, and nothing is stopping the water.",High
"My shower won?t turn off, and water is continuously running.",High
"The sink drain is completely blocked, and water is not going down at all.",High
My bathroom floor is flooded due to a leaking pipe.,High
My kitchen tap makes a loud rattling noise whenever I turn it on.,Medium
The showerhead is leaking even when the tap is completely closed.,Medium
The bathtub faucet has weak water pressure.,Medium
The water in my sink takes too long to drain.,Medium
"My toilet flushes, but it takes a long time for the water to refill.",Medium
The tap handle in my bathroom is becoming loose.,Low
My shower produces an odd smell when I use hot water.,Low
"The sink stopper is stuck, and I can't remove it.",Low
The bathroom sink makes a weird bubbling sound when draining.,Low
The water pressure in my kitchen tap is inconsistent.,Low
"My breaker keeps tripping, shutting down power to my entire apartment.",High
I saw sparks fly out of my power outlet when plugging something in.,High
There is a burning smell coming from one of the wall sockets.,High
"The main fuse in my apartment blew out, and I have no electricity.",High
The electric water heater keeps turning off randomly.,High
My room light flickers every time I turn on the fan.,Medium
The outlet in my living room makes a buzzing sound.,Medium
The light switch in my bedroom only works sometimes.,Medium
My electric kettle turns off before the water even boils.,Medium
My ceiling light turns on by itself at random times.,Medium
My toilet makes a weird bubbling sound when I use the sink.,Medium
"My kitchen tap drips constantly, no matter how tightly I turn it off.",Medium
There?s a small leak under the bathroom sink that?s getting worse.,Medium
"The flush button on my toilet is stuck, so I have to press really hard.",Medium
The shower water pressure keeps fluctuating while I?m using it.,Medium
"The kitchen sink takes ages to drain, even after using drain cleaner.",Medium
"My outdoor water tap is leaking, making a puddle in my yard.",Medium
The water pressure in my bathroom sink is extremely low.,Medium
There?s a rattling noise inside the walls whenever I turn on the water.,Medium
My showerhead is covered in mineral buildup and barely works.,Medium
"The washing machine hose is loose, and a little water is leaking.",Medium
My dishwasher sometimes backs up with dirty water.,Medium
"The bathtub stopper doesn?t seal properly, so I can?t take a bath.",Medium
There?s a weird metallic smell coming from my hot water tap.,Medium
My kitchen sink tap feels wobbly and loose.,Medium
The pipe under my sink drips slightly when I run the water.,Medium
My bathroom sink makes a strange whistling noise.,Medium
The toilet seat is loose and shifts when I sit down.,Medium
"The soap holder in my shower is broken, and water leaks behind it.",Medium
"The bathtub faucet leaks constantly, wasting water.",Medium
My sink tap takes a few seconds before water actually comes out.,Medium
The washing machine drain smells bad even after cleaning.,Medium
The pipe leading to my water tank has a small but steady leak.,Medium
My tap water has a slight rusty taste.,Medium
The water heater makes a loud clicking sound whenever it turns on.,Medium
"My entire apartment has lost power, and I don?t know why.",High
Sparks came out of my power socket when I tried plugging something in.,High
One of my electrical outlets is making a buzzing sound.,High
"My fridge suddenly stopped working, and everything inside is defrosting.",High
My electric stove won?t turn on at all.,High
My breaker trips every time I turn on the AC.,High
There?s a burning smell coming from the fuse box.,High
"My room?s main light won?t turn on, even after changing the bulb.",High
The electric water heater isn?t getting any power.,High
The ceiling fan in my room makes a loud grinding noise when I use it.,High
My microwave turns on but won?t heat anything.,High
The power keeps flickering every few seconds.,High
My apartment?s electrical wiring makes a crackling noise.,High
"My outdoor security light won?t turn on, leaving my yard dark.",High
The light in my hallway flickers constantly and won?t stay on.,High
My washing machine doesn?t seem to be receiving any power.,High
My electric kettle gets too hot to touch when plugged in.,High
One of my sockets melted and smells like burnt plastic.,High
My TV won?t turn on even though the outlet works.,High
The power in my house fluctuates every time I turn on the microwave.,High
The extension cord in my living room started sparking.,High
My laptop charger got burned after plugging it into the socket.,High
My bathroom exhaust fan stopped working out of nowhere.,High
My room light turns off by itself randomly.,High
The electrical panel outside my house is making a strange humming sound.,High
"My internet has completely stopped working, and I can?t access anything.",High
The Wi-Fi router keeps disconnecting randomly.,High
The internet speed is so slow that I can?t even open a single webpage.,High
My Wi-Fi network is not showing up on any of my devices.,High
The router is making a weird clicking sound and getting really hot.,High
"My internet keeps dropping every few minutes, making it impossible to work.",High
The ethernet port in my room isn?t working at all.,High
My smart TV keeps saying ?No internet connection? even though Wi-Fi is on.,High
The Wi-Fi range is horrible; I can?t get a signal in my bedroom.,High
My internet speed is way lower than what I?m paying for.,High
"Every time it rains, my internet stops working completely.",High
The router keeps rebooting on its own for no reason.,High
I keep getting kicked out of Zoom meetings because of poor connectivity.,High
My online game keeps lagging because the internet keeps spiking.,High
The internet is so unstable that even sending emails is difficult.,High
"The internet provider says everything is fine, but I still have no connection.",High
The Wi-Fi signal strength keeps dropping to one bar.,High
I can?t stream Netflix or YouTube because my internet keeps buffering.,High
My internet cuts out every time someone uses the microwave.,High
"I?m paying for fiber, but my speeds are worse than mobile data.",High
My work VPN keeps disconnecting due to weak internet.,High
"The router?s power light is blinking red, and nothing works.",High
"My Wi-Fi works for a few minutes, then stops, then comes back again.",High
My neighbor?s Wi-Fi is stronger than mine inside my own apartment.,High
"My modem keeps losing connection, and I have to restart it every hour.",High
My Wi-Fi works but is way too slow at night.,Medium
The router randomly disconnects but works again after a reboot.,Medium
My internet keeps working in the morning but slows down in the evening.,Medium
"The signal strength in my bedroom is weak, even though the router is close.",Medium
"The internet is fine, but my video calls keep freezing.",Medium
"Sometimes my internet works great, and sometimes it?s just useless.",Medium
"My phone keeps disconnecting from Wi-Fi, but other devices are fine.",Medium
I can?t get the 5GHz Wi-Fi to show up on my phone.,Medium
"My internet provider claims I have 100 Mbps, but I only get 10 Mbps.",Medium
The router takes too long to reconnect after a power outage.,Medium
The Wi-Fi works fine in one room but not in the other rooms.,Medium
The router settings reset every time the power goes out.,Medium
My laptop connects to other Wi-Fi networks but not mine.,Medium
"Some websites work fine, but others take forever to load.",Medium
I have to restart my router multiple times a day just to get a stable connection.,Medium
My phone won?t connect to Wi-Fi unless I restart it every time.,Medium
I keep getting error messages saying ?DNS server not responding.?,Medium
My internet slows down significantly when multiple people are using it.,Medium
"My router?s firmware update failed, and now nothing works.",Medium
"My Wi-Fi signal is fine, but my speeds drop drastically at night.",Medium
"Some apps work fine with my internet, but others just won?t load.",Medium
I keep getting disconnected from my PlayStation online games.,Medium
My Alexa keeps saying ?I?m having trouble connecting to the internet.?,Medium
"My ISP says my internet is fine, but my speed tests show otherwise.",Medium
"My router is placed in the living room, but the bedroom gets no signal.",Medium
My bed frame completely collapsed while I was sleeping.,High
The dining table legs are so loose it feels like it will break any second.,High
"The sofa springs are broken, making it impossible to sit comfortably.",High
"My wardrobe doors won?t close properly, and they keep swinging open.",High
My office chair keeps tilting backward unexpectedly.,High
The wooden chair in my kitchen suddenly cracked while I was sitting on it.,High
"My dresser drawers are stuck, and I can?t open or close them.",High
"The screws on my bookshelf keep falling out, making it unstable.",High
The glass on my coffee table shattered on its own.,High
My TV stand is leaning to one side and about to tip over.,High
The bolts on my bed frame keep coming loose every few days.,High
My closet shelves collapsed under the weight of my clothes.,High
The armrest on my sofa is coming off completely.,High
My wooden chair legs are wobbling dangerously.,High
My bedside table is so unstable that anything I put on it falls off.,High
The screws holding my dining chairs together keep falling out.,High
"My couch legs snapped, and now it sits unevenly.",High
The hinges on my cabinet door are completely broken.,High
My rocking chair doesn?t rock smoothly anymore.,High
The metal frame of my bed has bent out of shape.,High
The new bookshelf I bought won?t stay together properly.,High
My office desk drawers are misaligned and won?t close.,High
The mirror on my dressing table fell off and shattered.,High
My recliner gets stuck in the reclining position and won?t move back.,High
The dining table has deep cracks forming in the wood.,High
My couch cushions are flattening too quickly.,Medium
The wardrobe handles keep coming off.,Medium
My dining table wobbles slightly when I put weight on it.,Medium
The mattress feels lumpy after just a few months of use.,Medium
The dresser drawer slides are stiff and hard to open.,Medium
The armrests on my office chair squeak whenever I use them.,Medium
My bookshelf tilts slightly forward.,Medium
"The legs on my side table aren?t the same height, making it uneven.",Medium
The headboard on my bed is loose and rattles at night.,Medium
My couch fabric is pilling way too quickly.,Medium
The hinges on my cabinet doors make a loud creaking noise.,Medium
My office chair won?t stay at the height I adjust it to.,Medium
The dining chair fabric is wearing out too soon.,Medium
My wardrobe shelves feel like they can?t support much weight.,Medium
My TV stand has small cracks forming near the base.,Medium
The cushion covers on my sofa are hard to remove for washing.,Medium
My coffee table legs feel slightly uneven.,Medium
The screws on my desk need tightening every few weeks.,Medium
My recliner footrest won?t stay up.,Medium
The stitching on my couch is coming undone.,Medium
My bed frame squeaks loudly whenever I move.,Medium
My glass table has a small chip on the corner.,Medium
My chair cushions slide around too easily.,Medium
The edges of my table feel rough and unfinished.,Medium
My bookcase doors are hard to align properly.,Medium
The metal railing on my balcony has completely detached.,High
"My gate hinge has snapped off, making it impossible to close.",High
The welding on my staircase railing is coming apart.,High
The metal frame of my bed has cracked at the welded joints.,High
My burglar-proof bars are loose and rattling dangerously.,High
"The welding on my sliding gate has broken, and it won?t open properly.",High
My window grill has come off from one side.,High
The metal fence is bending at the welded joints.,High
The handrail on my stairs is no longer secure.,High
The welding on my carport roof frame is breaking apart.,High
My gate?s lock mechanism has fallen off due to poor welding.,High
The welded supports on my chair legs have broken.,High
My metal security door has a cracked weld near the hinges.,High
The welding on my bunk bed ladder is giving way.,High
The metal structure of my outdoor shed is separating at the welds.,High
The welding on my bike rack is weakening.,Medium
My door?s metal frame has small cracks in the welds.,Medium
The welding on my fence posts is starting to rust.,Medium
The metal bars on my patio cover are slightly loose.,Medium
My garage door tracks have weak welding joints.,Medium
The welded hooks in my storage shed are not holding weight properly.,Medium
My mailbox stand is tilting due to weak welds.,Medium
The welding on my metal staircase is corroding.,Medium
My garden fence gate feels wobbly at the welds.,Medium
The welding on my outdoor swing is beginning to crack.,Medium
My metal staircase steps are detaching at the weld points.,High
The welding on my outdoor railing has corroded completely.,High
My security bars are coming loose from the window frame.,High
The welded joints on my carport beams have cracked.,High
"The welding on my swing set is breaking, making it unsafe.",High
My metal gate has broken at the welded hinges.,High
The grill covering my AC unit has detached at the welds.,High
My front porch railing is leaning due to weak welding.,High
The metal frame of my kitchen shelves has separated at the joints.,High
My driveway gate is sagging because the welded supports have failed.,High
The metal doorframe in my storage room has come loose.,High
The welding on my sliding gate track is broken.,High
My metal-framed canopy has bent where it was welded.,High
The steel joints on my garden trellis are separating.,High
The welding on my metal shed door has completely rusted away.,High
My bunk bed frame?s welded support bars have snapped.,High
My metal outdoor table has collapsed at the welded legs.,High
The metal grill on my basement window is falling off.,High
The welds on my staircase guardrail are cracking.,High
The welding on my bicycle rack is coming apart.,High
My metal lamp post has cracks at the welded joints.,High
The gate latch has broken off at the weld.,High
The metal chair legs are bending due to weak welds.,High
My steel balcony frame is separating from the wall.,High
The metal frame of my barbecue grill has snapped at the welds.,High
My metal shelving unit is wobbly due to weak welds.,Medium
The welding on my outdoor light post is rusting.,Medium
My fence has developed cracks in the welded sections.,Medium
The metal bars in my stair railing are shifting slightly.,Medium
My garden fence posts are loose at the welds.,Medium
The brackets welded onto my gate feel flimsy.,Medium
The welding on my metal pergola shows signs of wear.,Medium
The metal chair frame creaks at the welded joints.,Medium
My window grill has slight bending at the welds.,Medium
The frame of my folding metal table is misaligned at the welds.,Medium
The metal handrails on my porch feel unstable.,Medium
The brackets holding my AC unit are loosening at the welds.,Medium
My metal-framed bed shakes slightly due to weak welds.,Medium
The welding on my garden trellis has started cracking.,Medium
The metal gate handle feels like it might snap off soon.,Medium
The metal bars on my fence make a loud noise when touched.,Medium
My garage door?s metal tracks are slightly shifting.,Medium
The welds on my door hinges are not smooth and feel rough.,Medium
The metal frame of my patio chair wobbles when I sit on it.,Medium
The metal legs of my dining table seem misaligned.,Medium
The welded parts of my swing set are slightly bent.,Medium
My outdoor grill has small cracks in the welded frame.,Medium
The metal railing at my front steps has visible welding defects.,Medium
My gate latch makes a clicking noise because of a poor weld.,Medium
The welded brackets on my roof ladder are rusting.,Medium
My bathroom is completely flooded due to a burst pipe.,High
The kitchen sink pipe is leaking heavily underneath.,High
My toilet is overflowing and won?t stop.,High
The water heater is leaking and won?t heat water.,High
There?s no running water in my apartment at all.,High
"The shower faucet broke off, and water is spraying everywhere.",High
My washing machine?s drain pipe is clogged and flooding the laundry area.,High
The pipes under my bathroom sink are leaking heavily.,High
"The main water valve won?t shut off, and water is gushing.",High
My toilet tank has cracked and is leaking water.,High
The sewer is backing up into my bathroom drains.,High
"My bathtub won?t drain, and water is backing up.",High
"The dishwasher?s drain pipe has burst, flooding my kitchen.",High
"My toilet flush handle is broken, and I can?t flush at all.",High
The outdoor water hose connection is leaking constantly.,High
"My kitchen sink won?t drain, and it smells terrible.",High
The water pressure in my entire apartment is extremely low.,High
My bathroom pipes are making loud banging noises.,High
The hot water tap in my sink won?t turn off.,High
The water heater is making a loud rumbling noise.,High
The main drain outside is clogged and causing water to pool.,High
My shower head has fallen off completely.,High
The plumbing under my bathtub is leaking into the ceiling below.,High
The toilet keeps running even after flushing.,High
"The pipes under my sink burst, and water is everywhere.",High
My kitchen faucet is dripping non-stop.,Medium
The toilet takes forever to fill after flushing.,Medium
My shower temperature keeps changing on its own.,Medium
The bathtub faucet is loose and wobbly.,Medium
There?s a strong sewage smell coming from my drains.,Medium
My bathroom sink drains very slowly.,Medium
The washing machine hookup leaks slightly when in use.,Medium
"My toilet flush is weak, and waste isn?t going down properly.",Medium
The sink in my guest bathroom has low water pressure.,Medium
My showerhead is clogged and sprays water in weird directions.,Medium
The water from my tap has a weird metallic taste.,Medium
My bathroom floor drain doesn?t drain water properly.,Medium
The kitchen sink has a gurgling sound after draining.,Medium
"My outdoor tap leaks constantly, even when turned off.",Medium
The bathtub faucet drips all night.,Medium
The P-trap under my sink is loose.,Medium
My water softener isn?t working correctly.,Medium
The drain cover in my shower is rusting.,Medium
The toilet seat is loose and shifts when I sit down.,Medium
My garbage disposal makes a weird noise when turned on.,Medium
The hose connecting to my dishwasher is slightly leaking.,Medium
"My basement has a damp smell, possibly from a small plumbing leak.",Medium
The water meter outside makes a loud hissing noise.,Medium
My water heater is making a knocking sound.,Medium
The pipes make a whistling noise when I turn on the tap.,Medium
There?s a burning smell coming from my electrical panel.,High
My circuit breaker keeps tripping randomly.,High
One of my outlets sparked when I plugged something in.,High
My light switch is making a buzzing sound.,High
The main power in my apartment keeps cutting out.,High
My ceiling fan motor is overheating and smells like burning plastic.,High
The wall socket in my kitchen is smoking.,High
"My entire room lost power, but the rest of the house is fine.",High
A loose wire in my light fixture is causing it to flicker violently.,High
My outdoor security light keeps turning off unexpectedly.,High
My electric water heater stopped working completely.,High
The wiring behind my TV outlet looks exposed and dangerous.,High
"My air conditioner won?t turn on, and the outlet is warm.",High
I got a mild shock from touching my bathroom light switch.,High
The fuse box is making a crackling sound.,High
"My electric stove isn?t heating up, and the control panel is unresponsive.",High
The hallway light switches don?t control anything anymore.,High
My apartment?s main breaker box keeps making a humming noise.,High
The LED panel in my kitchen flickers rapidly like a strobe light.,High
"My electric dryer won?t start, even though the outlet has power.",High
"The voltage in my home keeps fluctuating, making lights dim and brighten randomly.",High
I saw a small flame come from my power strip when I plugged something in.,High
"The power suddenly surged, and my laptop charger stopped working.",High
My security cameras won?t turn on even though they?re plugged in.,High
The backup generator in the building isn?t kicking in during outages.,High
My bathroom light flickers for a few seconds before turning on.,Medium
The switch in my bedroom is hard to press down.,Medium
My outdoor power outlet doesn?t work after heavy rain.,Medium
The dimmer switch in my living room gets really hot after a while.,Medium
My doorbell chime is extremely weak and cuts off randomly.,Medium
The motion sensor light outside keeps turning on and off by itself.,Medium
My smart bulb won?t connect to the Wi-Fi anymore.,Medium
The exhaust fan in my bathroom stopped working.,Medium
"The socket in my study room is slightly loose, making plugs fall out easily.",Medium
My microwave keeps resetting itself when plugged into a specific outlet.,Medium
The wall charger in my bedroom is making a faint buzzing noise.,Medium
The porch light isn?t as bright as it used to be.,Medium
The light under my kitchen cabinets flickers occasionally.,Medium
My hallway light takes a few seconds to turn on after flipping the switch.,Medium
The USB port in my bedside outlet doesn?t charge my phone properly.,Medium
The extension cord in my garage has suddenly stopped working.,Medium
My refrigerator makes a weird humming sound when the lights are on.,Medium
My smart thermostat keeps rebooting randomly.,Medium
The floor lamp in my living room works sometimes but not always.,Medium
The oven clock resets every time there?s a small power fluctuation.,Medium
"The touch-sensitive light in my bedroom is too sensitive, turning on by itself.",Medium
My kitchen outlet only works when I wiggle the plug.,Medium
The cable running to my outdoor shed has visible cracks in the insulation.,Medium
My laptop charger gets hotter than usual when plugged into the wall.,Medium
The nightlight in my child?s room flickers unpredictably.,Medium
My bedroom light switch is slightly misaligned.,Low
The LED strip under my desk doesn?t light up fully.,Low
The doorbell button is loose and wobbly.,Low
My bathroom mirror light takes a second to turn on.,Low
The power strip in my home office doesn?t sit flat against the wall.,Low
My standing fan?s power button needs to be pressed harder than usual.,Low
The cable box takes longer than usual to turn on.,Low
The indicator light on my coffee maker doesn?t work anymore.,Low
The plug on my bedside lamp is slightly bent.,Low
My home theater system takes longer to respond after plugging it in.,Low
The charger port on my power bank feels looser than before.,Low
The decorative light on my balcony flickers slightly.,Low
The LED numbers on my microwave display are a little dim.,Low
My floor lamp leans slightly to one side.,Low
The battery compartment on my remote-controlled lights is slightly loose.,Low
My smart plug takes a while to respond to voice commands.,Low
The light under my stairway is delayed by a second when I turn it on.,Low
The power indicator on my surge protector is dim.,Low
My bathroom?s ventilation fan makes a low humming noise.,Low
The fridge interior light is slower to turn on than before.,Low
My closet light sometimes needs to be switched on twice.,Low
The automatic nightlight in the hallway takes a while to detect movement.,Low
The power adapter on my fish tank?s water pump is slightly loose.,Low
The LED lights on my Christmas decorations flicker randomly.,Low
My child?s electric toy car takes longer to charge than before.,Low
